English,Kana,Kanji,Help Text,Type,Source,Section
there,そこ,,,Vocabulary,UDEMY_N5,3
over there,あそこ,,,Vocabulary,UDEMY_N5,3
where,どこ,,,Vocabulary,UDEMY_N5,3
this place / this side,こちら,,polite,Vocabulary,UDEMY_N5,3
that place / that side,そちら,,polite,Vocabulary,UDEMY_N5,3
over there,あちら,,polite,Vocabulary,UDEMY_N5,3
where / which,どちら,,polite,Vocabulary,UDEMY_N5,3
there is / there are,ある,,,Vocabulary,UDEMY_N5,3
dining hall / cafeteria,しょくどう,食堂,,Vocabulary,UDEMY_N5,3
room,へや,部屋,,Vocabulary,UDEMY_N5,3
outside,そと,外,,Vocabulary,UDEMY_N5,3
inside,なか,中,,Vocabulary,UDEMY_N5,3
reception desk,うけつけ,受付,,Vocabulary,UDEMY_N5,3
restroom,トイレ / おてあらい,お手洗い,,Vocabulary,UDEMY_N5,3
floor,かい,階,Suffix,Vocabulary,UDEMY_N5,3
stairs,かいだん,階段,,Vocabulary,UDEMY_N5,3
which floor,なんかい,何階,,Vocabulary,UDEMY_N5,3
elevator,エレベーター,,,Vocabulary,UDEMY_N5,3
counter for thin objects,まい,枚,Suffix,Vocabulary,UDEMY_N5,3
vending machine,じどうはんばいき,自動販売機,,Vocabulary,UDEMY_N5,3
section chief,かちょう,課長,,Vocabulary,UDEMY_N5,3
manager,ぶちょう,部長,,Vocabulary,UDEMY_N5,3
company president,しゃちょう,社長,,Vocabulary,UDEMY_N5,3
one hundred million,おく,億,,Vocabulary,UDEMY_N5,3
"Yes, please come in.",はい、どうぞ。,,,Phrase,UDEMY_N5,3
How do you do? I am Lan. I am from Vietnam. Nice to meet you.,はじめまして、ベトナムからきました。ランです。よろしく おねがいします。,,,Phrase,UDEMY_N5,3
"How do you do? I am Ando, of the Overseas department. Nice to meet you.",はじめまして、かいがいぶの あんどうです。よろしくおねがいします。,,,Phrase,UDEMY_N5,3
Lan's desk and chair are over there.,ランさんの つくえといすは あそこにあります。,,,Phrase,UDEMY_N5,3
A personal computer and a notebook are on the desk.,つくえのうえに パソコンと ノートが あります。,,,Phrase,UDEMY_N5,3
This is the material for the afternoon meeting. It has 150 pages.,これが ごごの かいぎの しりょうです。150 まいの しりょうです,,,Phrase,UDEMY_N5,3
"Um, where is the meeting room?",あのう、かいぎしつは どこにありますか。,,,Phrase,UDEMY_N5,3
The meeting room is on the third floor.,かいぎしつは ３がいにあります。,,,Phrase,UDEMY_N5,3
What floor is the cafeteria on?,しょくどうは なんがいにありますか。,,,Phrase,UDEMY_N5,3
"The cafeteria is on the first floor, next to the reception desk.",１かいに しょくどうがあります。うけつけの となりにあります。,,,Phrase,UDEMY_N5,3
Where are the vending machines?,じどうはんばいきは どこにありますか。,,,Phrase,UDEMY_N5,3
There are vending machines outside.,そとに じどうはんばいきがあります。,,,Phrase,UDEMY_N5,3
Where is the restroom?,トイレはどこですか。,,,Phrase,UDEMY_N5,3
The restrooms are on the first and third floors. They are to the left of the elevators.,おてあらいは １かいと 3 がい にあります。エレベーターのひだりに あります。,,,Phrase,UDEMY_N5,3
"All right. Excuse me, where is the general manager?",わかりました。 すみません、ぶちょうは どちらにいますか。,,,Phrase,UDEMY_N5,3
The general manager is in the meeting room.,ぶちょうは かいぎしつに います。,,,Phrase,UDEMY_N5,3
Excuse me,しつれいします。,あのう,,Phrase,UDEMY_N5,3
Well / umm,あのう。,,,Phrase,UDEMY_N5,3
Excuse me / pardon me / I'm sorry / Thank you,すみません。,,,Phrase,UDEMY_N5,3
You're welcome,どういたしまして。,,,Phrase,UDEMY_N5,3
Where is the meeting room?,かいぎしつは どこですか,,,Phrase,UDEMY_N5,3
Where is the restroom?,おてあらいは どちらですか,,,Phrase,UDEMY_N5,3
Where is the general manager?,ぶちょうは どちらに いますか,,,Phrase,UDEMY_N5,3
The overseas department is on the third floor,かいがいぶは ３がいです。,,,Phrase,UDEMY_N5,3
The manager’s room is over there,ぶちょうのへやは あそこです。,,,Phrase,UDEMY_N5,3
The reception desk is on the first floor,うけつけは いっかいです。,,,Phrase,UDEMY_N5,3
There is a vending machine.,じどうはんばいきが あります。,,,Phrase,UDEMY_N5,3
There is a flower.,はなが あります。,,,Phrase,UDEMY_N5,3
There is Mr. Yamada.,やまださんが います。,,,Phrase,UDEMY_N5,3
There is a cat.,ねこが います。,,,Phrase,UDEMY_N5,3
There is a chair and a desk over there.,あそこに いすとつくえが あります。,,,Phrase,UDEMY_N5,3
There is a restroom next to the elevator,エレベーターのとなりにトイレが あります。,,,Phrase,UDEMY_N5,3
Who is in the meeting room?,かいぎしつに だれが いますか。,,,Phrase,UDEMY_N5,3
The manager is in the meeting room,かいぎしつに ぶちょうが います。,,,Phrase,UDEMY_N5,3
That picture is on Mr. Ando's desk.,あのしゃしんは あんどうさんの つくえの うえに あります。,,,Phrase,UDEMY_N5,3
The vending machine is next to the reception desk.,じどうはんばいきは うけつけのとなりに あります。,,,Phrase,UDEMY_N5,3
Where is the company president?,しゃちょうは どこに いますか。,,,Phrase,UDEMY_N5,3
The company president is in that room,しゃちょうは あのへやに います。,,,Phrase,UDEMY_N5,3
100,ひゃく,,,Vocabulary,UDEMY_N5,3
200,にひゃく,,,Vocabulary,UDEMY_N5,3
300,さんびゃく,,,Vocabulary,UDEMY_N5,3
400,よんひゃく,,,Vocabulary,UDEMY_N5,3
500,ごひゃく,,,Vocabulary,UDEMY_N5,3
600,ろっぴゃく,,,Vocabulary,UDEMY_N5,3
700,ななひゃく,,,Vocabulary,UDEMY_N5,3
800,はっぴゃく,,,Vocabulary,UDEMY_N5,3
900,きゅうひゃく,,,Vocabulary,UDEMY_N5,3
"1,000",せん,,,Vocabulary,UDEMY_N5,3
"2,000",にせん,,,Vocabulary,UDEMY_N5,3
"3,000",さんぜん,,,Vocabulary,UDEMY_N5,3
"4,000",よんせん,,,Vocabulary,UDEMY_N5,3
"5,000",ごせん,,,Vocabulary,UDEMY_N5,3
"6,000",ろくせん,,,Vocabulary,UDEMY_N5,3
"7,000",ななせん,,,Vocabulary,UDEMY_N5,3
"8,000",はっせん,,,Vocabulary,UDEMY_N5,3
"9,000",きゅうせん,,,Vocabulary,UDEMY_N5,3
"10,000",いちまん,,,Vocabulary,UDEMY_N5,3
"30,000",さんまん,,,Vocabulary,UDEMY_N5,3
"80,000",はちまん,,,Vocabulary,UDEMY_N5,3
"100,000",じゅうまん,,,Vocabulary,UDEMY_N5,3
"1,000,000",ひゃくまん,,,Vocabulary,UDEMY_N5,3
"10,000,000",せんまん,,,Vocabulary,UDEMY_N5,3
"100,000,000",いちおく,,,Vocabulary,UDEMY_N5,3
first floor / 1st floor,いっかい,一回,,Vocabulary,UDEMY_N5,3
second floor / 2nd floor,にかい,二回,,Vocabulary,UDEMY_N5,3
third floor / 3rd floor,さんがい,三回,,Vocabulary,UDEMY_N5,3
fourth floor / 4th floor,よんかい,四回,,Vocabulary,UDEMY_N5,3
fifth floor / 5th floor,ごかい,五回,,Vocabulary,UDEMY_N5,3
sixth floor / 6th floor,ろっかい,六回,,Vocabulary,UDEMY_N5,3
seventh floor / 7th floor,ななかい,七回,,Vocabulary,UDEMY_N5,3
eight floor / 8th floor,はっかい,八回,,Vocabulary,UDEMY_N5,3
ninth floor / 9th floor,きゅうかい,九回,,Vocabulary,UDEMY_N5,3
tenth floor / 10th floor,じゅっかい,重回,,Vocabulary,UDEMY_N5,3
year,ねん,年,suffix,Vocabulary,UDEMY_N5,4
what year,なんねん,何年,,Vocabulary,UDEMY_N5,4
this year,ことし,今年,,Vocabulary,UDEMY_N5,4
next year,らいねん,来年,,Vocabulary,UDEMY_N5,4
last year,きょねん,去年,,Vocabulary,UDEMY_N5,4
month,がつ,月,suffix,Vocabulary,UDEMY_N5,4
what month,なんがつ,何月,,Vocabulary,UDEMY_N5,4
this month,こんげつ,今月,,Vocabulary,UDEMY_N5,4
next month,らいげつ,来月,,Vocabulary,UDEMY_N5,4
week,しゅう,週,,Vocabulary,UDEMY_N5,4
this week,こんしゅう,今週,,Vocabulary,UDEMY_N5,4
this week,らいしゅう,来週,,Vocabulary,UDEMY_N5,4
last week,せんしゅう,先週,,Vocabulary,UDEMY_N5,4
day,ひ/にち,日,,Vocabulary,UDEMY_N5,4
today,きょう,今日,,Vocabulary,UDEMY_N5,4
yesterday,きのう,昨日,,Vocabulary,UDEMY_N5,4
the day before yesterday,おととい,,,Vocabulary,UDEMY_N5,4
the day after tomorrow,あさって,,,Vocabulary,UDEMY_N5,4
time / o'clock,じ,時,suffix,Vocabulary,UDEMY_N5,4
what time,なんじ,何時,,Vocabulary,UDEMY_N5,4
minute,ふん,分,suffix,Vocabulary,UDEMY_N5,4
what minute,なんぷん,何分,,Vocabulary,UDEMY_N5,4
second,びょう,秒,suffix,Vocabulary,UDEMY_N5,4
when,いつ,,,Vocabulary,UDEMY_N5,4
half,はん,半,,Vocabulary,UDEMY_N5,4
the front,まえ,前,,Vocabulary,UDEMY_N5,4
the back,うしろ,後ろ,,Vocabulary,UDEMY_N5,4
now,いま,今,,Vocabulary,UDEMY_N5,4
morning,あさ,朝,,Vocabulary,UDEMY_N5,4
daytime,ひる,昼,,Vocabulary,UDEMY_N5,4
evening,ばん,晩,,Vocabulary,UDEMY_N5,4
night,よる,夜,,Vocabulary,UDEMY_N5,4
this morning,けさ,今朝,,Vocabulary,UDEMY_N5,4
this evening,こんばん,今晩,,Vocabulary,UDEMY_N5,4
rest/a day off,やすみ,休み,,Vocabulary,UDEMY_N5,4
every day,まいにち,毎日,,Vocabulary,UDEMY_N5,4
every,まい,毎,prefix,Vocabulary,UDEMY_N5,4
birthday,たんじょうび,誕生日,,Vocabulary,UDEMY_N5,4
party,パーティー,,,Vocabulary,UDEMY_N5,4
department store,デパート,,,Vocabulary,UDEMY_N5,4
bank,ぎんこう,銀行,,Vocabulary,UDEMY_N5,4
post office,ゆうびんきょく,郵便局,,Vocabulary,UDEMY_N5,4
library,としょかん,図書館,,Vocabulary,UDEMY_N5,4
movie theatre,えいがかん,映画館,,Vocabulary,UDEMY_N5,4
supermarket,スーパー,,,Vocabulary,UDEMY_N5,4
hospital,びょういん,病院,,Vocabulary,UDEMY_N5,4
vegetable shop,やおや,八百屋,,Vocabulary,UDEMY_N5,4
art museum,びじゅつかん,美術館,,Vocabulary,UDEMY_N5,4
side,がわ,側,suffix,Vocabulary,UDEMY_N5,4
Monday,げつようび,月曜日,,Vocabulary,UDEMY_N5,4
Tuesday,かようび,火曜日,,Vocabulary,UDEMY_N5,4
