English,Kana,Kanji,Help Text,Source,Section
reception desk,うけつけ,受付,,UDEMY_N5,3
restroom,トイレ / おてあらい,お手洗い,,UDEMY_N5,3
floor,かい,階,Suffix,UDEMY_N5,3
stairs,かいだん,階段,,UDEMY_N5,3
which floor,なんかい,何階,,UDEMY_N5,3
elevator,エレベーター,,,UDEMY_N5,3
counter for thin objects,まい,枚,Suffix,UDEMY_N5,3
vending machine,じどうはんばいき,自動販売機,,UDEMY_N5,3
section chief,かちょう,課長,,UDEMY_N5,3
manager,ぶちょう,部長,,UDEMY_N5,3
company president,しゃちょう,社長,,UDEMY_N5,3
one hundred million,おく,億,,UDEMY_N5,3
"Yes, please come in.",はい、どうぞ。,,,UDEMY_N5,3
How do you do? I am Lan. I am from Vietnam. Nice to meet you.,はじめまして、ベトナムからきました。ランです。よろしく おねがいします。,,,UDEMY_N5,3
"How do you do? I am Ando, of the Overseas department. Nice to meet you.",はじめまして、かいがいぶの あんどうです。よろしくおねがいします。,,,UDEMY_N5,3
Lan's desk and chair are over there.,ランさんの つくえといすは あそこにあります。,,,UDEMY_N5,3
A personal computer and a notebook are on the desk.,つくえのうえに パソコンと ノートが あります。,,,UDEMY_N5,3
This is the material for the afternoon meeting. It has 150 pages.,これが ごごの かいぎの しりょうです。150 まいの しりょうです,,,UDEMY_N5,3
"Um, where is the meeting room?",あのう、かいぎしつは どこにありますか。,,,UDEMY_N5,3
The meeting room is on the third floor.,かいぎしつは ３がいにあります。,,,UDEMY_N5,3
What floor is the cafeteria on?,しょくどうは なんがいにありますか。,,,UDEMY_N5,3
"The cafeteria is on the first floor, next to the reception desk.",１かいに しょくどうがあります。うけつけの となりにあります。,,,UDEMY_N5,3
Where are the vending machines?,じどうはんばいきは どこにありますか。,,,UDEMY_N5,3
There are vending machines outside.,そとに じどうはんばいきがあります。,,,UDEMY_N5,3
Where is the restroom?,トイレはどこですか。,,,UDEMY_N5,3
The restrooms are on the first and third floors. They are to the left of the elevators.,おてあらいは １かいと 3 がい にあります。エレベーターのひだりに あります。,,,UDEMY_N5,3
"All right. Excuse me, where is the general manager?",わかりました。 すみません、ぶちょうは どちらにいますか。,,,UDEMY_N5,3
